,MMS ID,Barcode,title,Author,Call Number,Permanent Location,Material Type,Process type,Description,Orders,Requests,Modification Date,Due Date
247,992776323606241,33082001234250,Aerial perception : the earth as seen from aircraft and spacecraft and its influence on contemporary art / Margret Dreikausen.,Dreikausen Margret,N8213 .D73 1985,Oversize Books,Book,Lost,,,,03-Jan-21,14-Dec
248,9910536203606241,33082010322112,The map as art : contemporary artists explore cartography / Katharine Harmon ; with essays by Gayle Clemans.,Harmon Katharine A,N8222.M375 H37 2009,Oversize Books,Book,Lost,,,,03-Jan-21,14-Dec
249,999755683606241,33082010086451,"Built by Blacks : African American architecture and neighborhoods in Richmond / Selden Richardson ; editor and photographer, Maurice Duke.",Richardson Selden,NA735.R5 R53 2008,Oversize Books,Book,Lost,,,,08-Nov-20,16-Sep
250,9910775213606241,33082010788650,City building : nine planning principles for the twenty-first century / John Lund Kriken with Philip Enquist and Richard Rapaport.,Kriken John Lund,NA737.S53 K75 2010,Oversize Books,Book,Lost,,,,08-Nov-20,16-Sep
251,998640543606241,33082009903385,"Spaces of global cultures : architecture, urbanism, identity / Anthony D. King.",King Anthony D,NA2543.G46 K55 2004,Oversize Books,Book,Lost,,,,20-Nov-20,30-Sep
252,994128143606241,33082006623895,"A preliminary report on a capital expenditure program and administrative policy and practice / [consultants, Harland Bartholomew and Associates].",Harland Bartholomew & Associates,NA9127.R5 H3 1944,Oversize Books,Book,Lost,,,,08-Nov-20,16-Sep
253,994128123606241,33082006623770,A preliminary report on a proposed civic center and the city's appearance ...,Harland Bartholomew & Associates,NA9127.R5 H32 1944,Oversize Books,Book,Lost,,,,08-Nov-20,16-Sep
254,994127983606241,33082006623903,A preliminary report on housing conditions and policies ...,Harland Bartholomew & Associates,NA9127.R5 H33 1943,Oversize Books,Book,Lost,,,,08-Nov-20,16-Sep
255,994127963606241,33082006623788,A preliminary report on land use and zoning ...,Harland Bartholomew & Associates,NA9127.R5 H34 1942,Oversize Books,Book,Lost,,,,08-Nov-20,16-Sep
256,994128103606241,33082006623663,"A preliminary report on parks and schools / [consultants, Harland Bartholomew and Associates].",Harland Bartholomew & Associates,NA9127.R5 H352 1944,Oversize Books,Book,Lost,,,,08-Nov-20,16-Sep
